distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,132.0,115.5,148.5,99,165,2,True
0.1,79.5,69.75,89.25,60,99,2,True
0.2,79.5,69.75,89.25,60,99,2,True
0.3,79.5,69.75,89.25,60,99,2,True
0.4,121.5,110.25,132.75,99,144,2,True
0.5,99.0,99.0,99.0,99,99,1,True
0.6,75.33333333333333,63.5,83.0,60,99,3,True
0.7,79.5,69.75,89.25,60,99,2,True
0.8,148.33333333333334,139.5,155.0,135,166,3,True
0.9,145.66666666666666,135.5,155.0,127,166,3,True
1.0,135.0,135.0,135.0,135,135,1,True
1.1,99.0,99.0,99.0,99,99,1,True
1.2,101.0,84.0,118.0,67,135,2,True
1.3,97.5,78.75,116.25,60,135,2,True
1.4,112.5,86.25,138.75,60,165,2,True
1.5,63.5,61.75,65.25,60,67,2,True
1.6,87.33333333333333,63.5,101.0,60,135,3,True
1.7,67.0,63.5,70.5,60,74,3,True
1.8,150.5,142.75,158.25,135,166,2,True
1.9,109.0,96.0,116.5,94,135,3,True
2.0,131.33333333333334,114.5,150.0,94,165,3,True
2.1,132.0,116.25,147.75,99,165,4,True
2.2,131.5,118.25,147.75,98,159,4,True
2.3,142.0,133.5,150.5,125,159,2,True
2.4,130.0,115.5,144.5,101,159,2,True
2.5,130.0,115.5,144.5,101,159,2,True
2.6,97.5,95.75,99.25,94,101,2,True
2.7,165.0,165.0,165.0,165,165,1,True
2.8,159.0,159.0,159.0,159,159,1,True
2.9,159.0,159.0,159.0,159,159,1,True
3.0,159.0,159.0,159.0,159,159,1,True
3.1,119.5,96.75,142.25,74,165,2,True
3.2,135.0,119.5,165.5,74,166,3,True
3.3,119.5,96.75,142.25,74,165,2,True
3.4,74.0,74.0,74.0,74,74,1,True
3.5,128.0,112.5,143.0,98,159,3,True
3.6,94.33333333333333,79.0,111.5,60,125,3,True
3.7,99.33333333333333,86.5,112.0,74,125,3,True
3.9,88.0,82.5,98.5,67,99,3,True
4.0,102.0,90.25,110.25,67,144,4,True
4.1,101.0,84.0,118.0,67,135,2,True
4.2,67.0,63.5,70.5,60,74,2,True
4.3,63.5,61.75,65.25,60,67,2,True
4.4,84.0,75.5,92.5,67,101,2,True
4.5,118.0,109.5,126.5,101,135,2,True
4.6,98.0,98.0,98.0,98,98,1,True
4.7,67.0,67.0,67.0,67,67,1,True
4.8,89.0,78.0,100.0,67,111,2,True
4.9,90.0,70.5,106.0,60,127,4,True
5.0,106.75,70.5,136.75,60,166,4,True
5.1,124.5,123.25,125.75,122,127,2,True
5.2,122.0,122.0,122.0,122,122,1,True
5.3,67.0,67.0,67.0,67,67,1,True
6.5,125.0,125.0,125.0,125,125,1,True
6.6,162.0,160.5,163.5,159,165,2,True
6.7,159.0,159.0,159.0,159,159,1,True
7.7,144.0,144.0,144.0,144,144,1,True
7.8,128.33333333333334,109.5,138.5,108,166,3,True
7.9,109.5,108.75,110.25,108,111,2,True
8.0,104.5,102.75,106.25,101,108,2,True
8.1,101.0,101.0,101.0,101,101,1,True
8.2,135.0,135.0,135.0,135,135,1,True
8.3,135.0,135.0,135.0,135,135,1,True
8.7,99.0,99.0,99.0,99,99,1,True
8.8,135.0,135.0,135.0,135,135,1,True
8.9,135.0,135.0,135.0,135,135,1,True
9.0,151.5,147.75,155.25,144,159,2,True
9.1,85.5,72.75,98.25,60,111,2,True
9.2,117.5,112.75,122.25,108,127,2,True
9.3,121.5,114.75,128.25,108,135,2,True
9.4,127.0,127.0,127.0,127,127,1,True
9.5,135.5,131.25,139.75,127,144,2,True
9.6,96.75,89.25,107.5,60,127,4,True
9.7,60.0,60.0,60.0,60,60,1,True
9.8,99.0,99.0,99.0,99,99,1,True
9.9,101.0,97.5,104.5,94,108,2,True
10.0,96.0,95.0,97.0,94,98,2,True
10.1,125.0,116.5,133.5,108,142,2,True
10.2,103.5,101.25,105.75,99,108,2,True
10.3,103.0,100.5,105.5,98,108,2,True
10.4,111.5,104.75,118.25,98,125,2,True
10.5,117.5,98.75,122.25,98,165,4,True
10.6,103.5,101.25,105.75,99,108,2,True
10.7,102.66666666666667,100.0,104.5,99,108,3,True
10.8,108.0,79.5,132.0,60,165,3,True
10.9,97.75,65.25,115.5,60,165,4,True
11.0,97.75,65.25,115.5,60,165,4,True
11.1,113.8,67.0,142.0,60,165,5,True
11.2,87.33333333333333,63.5,101.0,60,135,3,True
11.3,87.33333333333333,63.5,101.0,60,135,3,True
11.4,86.66666666666667,79.5,100.0,60,101,3,True
11.5,84.75,65.25,103.5,60,111,4,True
11.6,81.75,65.25,99.5,60,101,4,True
11.7,89.0,83.0,100.0,67,101,3,True
11.8,101.0,84.0,118.0,67,135,3,True
11.9,108.5,99.5,118.5,94,127,6,True
12.0,118.6,99.0,127.0,94,165,5,True
12.1,121.0,108.0,127.0,94,165,5,True
12.2,118.6,99.0,127.0,94,165,5,True
12.3,115.66666666666667,99.5,122.25,94,165,6,True
12.4,105.66666666666667,95.25,106.25,67,165,6,True
12.5,105.66666666666667,95.25,106.25,67,165,6,True
12.6,105.66666666666667,95.25,106.25,67,165,6,True
12.7,117.66666666666667,102.75,123.0,94,165,6,True
12.8,115.66666666666667,99.5,122.25,94,165,6,True
12.9,113.14285714285714,98.5,117.5,94,165,7,True
13.0,113.14285714285714,98.5,117.5,94,165,7,True
13.1,110.0,98.0,127.0,60,166,5,True
13.2,81.0,65.25,98.25,60,99,4,True
13.3,81.0,65.25,98.25,60,99,4,True
13.4,90.0,65.25,107.25,60,135,4,True
13.5,107.0,65.25,142.75,60,166,4,True
13.6,113.0,86.5,139.5,60,166,2,True
13.7,113.0,86.5,139.5,60,166,2,True
13.8,113.0,86.5,139.5,60,166,2,True
13.9,140.33333333333334,127.5,155.0,111,166,3,True
14.0,136.33333333333334,121.5,155.0,99,166,3,True
14.1,136.0,121.5,154.5,99,165,3,True
14.2,124.75,105.75,136.5,99,165,4,True
14.3,117.75,106.25,129.0,101,135,4,True
14.4,129.66666666666666,112.75,140.25,101,165,6,True
14.5,133.66666666666666,112.75,157.5,101,166,6,True
14.6,127.66666666666667,102.75,155.5,99,166,6,True
14.7,104.33333333333333,80.25,120.5,60,165,6,True
14.8,96.75,89.25,107.5,60,127,4,True
14.9,104.5,98.25,120.5,60,142,6,True
15.0,104.5,98.25,120.5,60,142,6,True
15.1,96.5,95.0,100.5,60,127,6,True
15.2,96.2,94.0,101.0,60,127,5,True
15.3,96.2,94.0,101.0,60,127,5,True
15.4,96.5,95.0,100.5,60,127,6,True
15.5,92.5,79.0,100.5,60,127,6,True
15.6,106.5,95.25,120.5,74,144,6,True
15.7,118.5,99.5,138.25,98,144,6,True
15.8,118.5,102.75,133.0,98,142,6,True
15.9,124.5,107.5,140.25,98,144,6,True
16.0,113.4,99.0,127.0,98,142,5,True
16.1,126.25,120.5,136.75,101,142,4,True
16.2,103.8,98.0,101.0,94,127,5,True
16.3,103.8,98.0,101.0,94,127,5,True
16.4,104.5,98.25,106.25,94,127,6,True
16.5,104.5,98.25,106.25,94,127,6,True
16.6,100.5,95.25,106.25,74,127,6,True
16.7,105.8,99.0,127.0,60,142,5,True
16.8,108.5,99.5,125.75,60,142,6,True
16.9,97.66666666666667,73.75,100.5,60,165,6,True
17.0,107.66666666666667,95.25,120.5,60,165,6,True
17.1,96.2,94.0,101.0,60,127,5,True
17.2,100.5,95.0,118.5,60,127,6,True
17.3,95.2,94.0,99.0,60,125,5,True
