distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,222.85714285714286,204.0,247.0,7,True
0.1,193.71428571428572,129.5,251.0,7,True
0.2,185.14285714285714,99.5,258.0,7,True
0.3,173.14285714285714,114.0,239.0,7,True
0.4,145.71428571428572,93.5,205.5,7,True
0.5,180.0,157.0,211.5,7,True
0.6,197.14285714285714,159.5,252.5,7,True
0.7,135.42857142857142,118.0,141.5,7,True
0.8,190.28571428571428,137.5,233.0,7,True
0.9,168.0,105.5,223.5,7,True
1.0,166.28571428571428,90.5,259.0,7,True
1.1,142.28571428571428,110.5,186.0,7,True
1.2,106.28571428571429,74.0,128.5,7,True
1.3,118.28571428571429,101.0,140.5,7,True
1.4,181.71428571428572,115.0,259.0,7,True
1.5,121.71428571428571,83.0,126.0,7,True
1.6,126.85714285714286,80.0,174.0,7,True
1.7,130.28571428571428,72.0,174.0,7,True
1.8,130.28571428571428,84.0,157.5,7,True
1.9,140.57142857142858,83.5,187.5,7,True
2.0,178.28571428571428,123.5,242.5,7,True
2.1,137.14285714285714,113.0,163.0,7,True
2.2,157.71428571428572,86.5,216.0,7,True
2.3,169.71428571428572,102.5,236.0,7,True
2.4,161.14285714285714,106.0,218.0,7,True
2.5,154.28571428571428,114.0,200.5,7,True
2.6,133.71428571428572,96.0,174.0,7,True
2.7,140.57142857142858,118.5,161.0,7,True
2.8,156.0,129.5,189.5,7,True
2.9,185.14285714285714,159.5,230.0,7,True
3.0,161.14285714285714,122.5,210.0,7,True
3.1,154.28571428571428,118.5,194.5,7,True
3.2,135.42857142857142,101.0,170.5,7,True
3.3,123.42857142857143,108.5,142.5,7,True
3.4,138.85714285714286,83.5,179.0,7,True
3.5,156.0,115.5,201.5,7,True
3.6,200.57142857142858,166.5,243.5,7,True
3.7,161.14285714285714,109.5,215.5,7,True
3.8,214.28571428571428,200.5,252.0,7,True
3.9,236.57142857142858,229.5,242.5,7,True
4.0,157.71428571428572,108.0,210.0,7,True
4.1,166.28571428571428,151.0,198.0,7,True
4.2,140.57142857142858,113.0,173.5,7,True
4.3,178.28571428571428,135.5,222.0,7,True
4.4,157.71428571428572,124.5,178.5,7,True
4.5,171.42857142857142,159.5,199.0,7,True
4.6,192.0,162.0,222.0,7,True
4.7,202.28571428571428,176.5,232.5,7,True
4.8,204.0,156.0,248.5,7,True
4.9,224.57142857142858,213.5,249.5,7,True
5.0,224.57142857142858,213.5,249.5,7,True
5.1,205.71428571428572,174.0,243.5,7,True
5.2,216.0,170.0,255.5,7,True
5.3,192.0,153.5,224.5,7,True
5.4,168.0,117.5,218.5,7,True
5.5,186.85714285714286,167.0,212.0,7,True
5.6,180.0,142.0,218.5,7,True
5.7,185.14285714285714,158.0,207.5,7,True
5.8,176.57142857142858,138.0,205.0,7,True
5.9,210.85714285714286,174.0,258.0,7,True
6.0,198.85714285714286,140.5,256.5,7,True
6.1,195.42857142857142,136.0,250.5,7,True
6.2,176.57142857142858,130.5,224.5,7,True
6.3,137.14285714285714,98.0,179.0,7,True
6.4,156.0,120.5,195.5,7,True
6.5,180.0,150.0,226.5,7,True
6.6,166.28571428571428,144.0,199.0,7,True
6.7,205.71428571428572,170.0,253.5,7,True
6.8,180.0,162.0,207.5,7,True
6.9,192.0,168.0,221.5,7,True
7.0,164.57142857142858,108.5,217.0,7,True
7.1,193.71428571428572,150.0,254.0,7,True
7.2,109.71428571428571,93.5,122.5,7,True
7.3,185.14285714285714,136.0,226.5,7,True
7.4,147.42857142857142,103.5,178.5,7,True
7.5,161.14285714285714,101.0,214.5,7,True
7.6,171.42857142857142,123.5,219.5,7,True
7.7,210.85714285714286,165.5,278.5,7,True
7.8,171.42857142857142,129.5,211.0,7,True
7.9,171.42857142857142,138.5,207.5,7,True
8.0,144.0,103.0,185.0,7,True
8.1,126.85714285714286,93.5,156.5,7,True
8.2,212.57142857142858,170.5,260.5,7,True
8.3,217.71428571428572,206.5,242.5,7,True
8.4,180.0,112.5,254.5,7,True
8.5,190.28571428571428,148.5,240.0,7,True
8.6,176.57142857142858,118.0,228.0,7,True
8.7,154.28571428571428,100.0,203.5,7,True
8.8,180.0,132.0,228.0,7,True
8.9,133.71428571428572,118.5,144.5,7,True
9.0,128.57142857142858,96.5,157.0,7,True
9.1,202.28571428571428,180.5,247.0,7,True
9.2,186.85714285714286,159.5,230.5,7,True
